"seller_id","seller_zip_code","seller_city","seller_state"
"3442f8959a84dea7ee197c632cb2df15","13023",campinas,SP
d1b65fc7debc3361ea86b5f14c68d2e2,"13844",mogi guacu,SP
ce3ad9de960102d0677a81f5d0bb7b2d,"20031",rio de janeiro,RJ
c0f3eea2e14555b6faeea3dd58c1b1c3,"04195",sao paulo,SP
"51a04a8a6bdcb23deccc82b0b80742cf","12914",braganca paulista,SP
c240c4061717ac1806ae6ee72be3533b,"20920",rio de janeiro,RJ
e49c26c3edfa46d227d5121a6b6e4d37,"55325",brejao,PE
"1b938a7ec6ac5061a66a3766e0e75f90","16304",penapolis,SP
"768a86e36ad6aae3d03ee3c6433d61df","01529",sao paulo,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,"80310",curitiba,PR
"8cb7c5ddf41f4d506eba76e9a4702a25","75110",anapolis,GO
a7a9b880c49781da66651ccf4ba9ac38,"13530",itirapina,SP
"8bd0f31cf0a614c658f6763bd02dea69","01222",sao paulo,SP
"05a48cc8859962767935ab9087417fbb","05372",sao paulo,SP
"7b8e8ec35bad4b0ef7e3963650b0a87b","88705",tubarao,SC
"1444c08e64d55fb3c25f0f09c07ffcf2","42738",lauro de freitas,BA
"166e8f1381e09651983c38b1f6f91c11","88780",imbituba,SC
e38db885400cd35c71dfd162f2c1dbcf,"70740",brasilia,DF
d2e753bb80b7d4faa77483ed00edc8ca,"45810",porto seguro,BA
f9ec7093df3a7b346b7bcf7864069ca3,"05138",sao paulo,SP
"4e6015589b781adaa5ce7f1892d06bb1","11440",guaruja,SP
"4cf490a58259286ada5ba8525ba9e84a","14910",tabatinga,SP
f7496d659ca9fdaf323c0aae84176632,"04156",sao paulo,SP
"2ff97219cb8622eaf3cd89b7d9c09824","13320",salto,SP
"8bd0e3abda539b9479c4b44a691be1ec","98910",tres de maio,RS
"2a1348e9addc1af5aaa619b1a3679d6b","30494",belo horizonte,MG
"2078fe5066350e7d220c0ad3a3bbc6c1","86707",arapongas,PR
"116ccb1a1604bc88e4d234a8c23f33de","09850",sao bernardo do campo,SP
"430315b7bb4b6e4b3c978f9dfa9b0558","04857",sao paulo,SP
"406822777a0b9eb5c50e442dd4cd3ec5","18500",tatui,SP
"4dbd95a08b31ede5c82d3f861cb1ce1a","80210",curitiba,PR
e9e446d01bd10a97a8ffcfc4a3a20cb2,"02261",sao paulo,SP
d52cbce9845184537284a23c3bc3da0e,"88495",garopaba,SC
d9a84e1403de8da0c3aa531d6d108ba6,"03562",sao paulo,SP
"9c690ceacd5c66731bf443ea810195cb","37650",camanducaia,MG
"1f9ab4708f3056ede07124aad39a2554","17602",tupa,SP
"1961c3e1272bfeceb05d0b78b5bbfdaf","07241",guarulhos,SP
d3e7d37c0df9aef383f3f2a15b0dddfb,"83050",sao jose dos pinhais,PR
ec2e006556300a79a5a91e4876ab3a56,"03445",sao paulo,SP
b2a6d334e2833acea353624840e25a0e,"04133",sao paulo,SP
d3674f271c91f824f82d24d92011f669,"72233",brasilia,DF
"768de2a4fc06aacecb9a586ccc30746a","70645",brasilia,DF
a81466620e46a6970b22ef40379fdfc9,"88730",sao ludgero,SC
"5c030029b5916fed0986310385ec9009","88075",sao jose,SC
c0f783394e37cd9c9d7f5f81141450fa,"13416",piracicaba,SP
c353f8fc0ce8344999f17d578eb69a5e,"90850",porto alegre,RS
"8444e55c1f13cd5c179851e5ca5ebd00","37584",congonhal,MG
"28a26ebce31d5918b181ede016fd693b","31950",belo horizonte,MG
"41ab63a91b8b264e8c8780368bf1dd5b","31555",belo horizonte,MG
"8759e7aedd644f487315e5860962f162","09251",santo andre,SP
e546117ed9cafbc40239c0c78635c584,"04705",sao paulo,SP
d71d863e5ef30d94e440c11be17dcd8f,"06144",osasco,SP
"0c7533c71df861ec58ad7ff999ed0e8d","13270",valinhos,SP
ef990a83bbea832f36ebe81376335aa8,"89214",joinville,SC
"41e0fa5761c886a630994a55c12087e7","11446",guaruja,SP
"0747d5bb69f0586cc869d8af4c50f93e","28990",saquarema,RJ
"7d294cf9a6a69dc6a0c3e540fff0e039","88390",barra velha,SC
c89cf7c468a48af70aada384e722f9e2,"25730",petropolis,RJ
b7ba853e9551f4558440881fd3e5c815,"95500",santo antonio da patrulha,RS
"13c2ed7698b3ca92dad49e849219da59","84010",ponta grossa,PR
cbbd5ae8f53de5f5097cd8217b529e24,"06544",santana de parnaiba,SP
"02ecc2a19303f05e59ce133fd923fff7","09121",santo andre,SP
c013e57c075a06e5b5c48ee03c525719,"13568",sao carlos,SP
"55f7a3319d80f7fdf078b8f03e6725fe","06056",osasco,SP
"2d50d6282f8aa2257819a77bfaa0efe0","14940",ibitinga,SP
b7e1750c1157341d2abd0251e07c186b,"05741",sao paulo,SP
b90e891671cffd9557f33a97dc523645,"83010",sao jose dos pinhais,PR
a416b6a846a11724393025641d4edd5e,"03702",sao paulo,SP
"7e93a43ef30c4f03f38b393420bc753a","06429",barueri,SP
"5206cc4bc2297c833e6061c49bf9c43f","06192",osasco,SP
f410c8873029fcc3809b9df6d0b28914,"95076",caxias do sul,SP
ef506c96320abeedfb894c34db06f478,"03569",sao paulo,SP
a13aaf2d2886ab9fb30fb9a920160b8f,"89207",joinville,SC
"7299e27ed73d2ad986de7f7c77d919fa","38440",araguari,MG
"8a9260f2b0340411d6d2a56bcf4f7378","32180",contagem,MG
dedcab67899479e4ea5dcc4eba47f587,"89258",jaragua do sul,SC
b2479f944e1b90cf8a5de1bbfde284d6,"14940",ibitinga,SP
"7722b1df1b0e383e000397b2c11e3e19","09715",sao bernardo do campo,SP
"731ef20c231d9a7103a425e83fd91271","88501",lages - sc,SC
"78813699ffac347fe27dba345a5f1551","95711",bento goncalves,RS
"3296662b1331dea51e744505065ae889","15805",catanduva,SP
"411f3b52d857390502ee4e4d5ceabc2d","09400",ribeirao pires,SP
bba3293d6f5d5af2f415e004e8b93ae3,"04726",sao paulo,SP
"4e7c18b98d84e05cbae3ff0ff03846c2","14882",jaboticabal,SP
b56906f7fd1696e043f1bcce164c487b,"19830",echapora,SP
d650b663c3b5f6fb392b6326366efa9a,"06713",cotia,SP
"669ae81880e08f269a64487cfb287169","89160",rio do sul,SC
c2d70ce2c5d0a2eb75e78668236e6dc8,"04275",sao paulo,SP
"674207551483fec113276b67b0d871ff","18040",sorocaba,SP
abe42c5d03695b4257b5c6cbf4e6784e,"21235",rio de janeiro,RJ
"1996942dc085d7773ba77a529b163cd0","14850",pradopolis,SP
"79b93a308a97792cf53ac75f46da00b5","22420",rio de janeiro,RJ
"7cf4ea70955b00d6b3c22542598e2715","01125",sao paulo,SP
"63ffcb71394dd8ea3872ed9ffda17c74","24813",itaborai,RJ
"83353a83fd769dfafa4f21a72b15e3e5","05786",sao paulo,SP
cda598c48d7c614bc1cad7d8ff6f0010,"15137",mirassol,SP
d4910f1cdcfdabd48d6b316e395d4a23,"09190",santo andre,SP
"709e16e2b25c7474d980076c6bfc4806","16200",birigui,SP
"9dc79dd988ac42f4d56c340d7048420a","03569",sao paulo,SP
"276677b5d08786d5dce7c2149dcce48b","31730",belo horizonte,MG
"9c4d31c7e46ab03a43fc06e3142afd4e","20785",rio de janeiro,RJ
"512d298ac2a96d1931b6bd30aa21f61d","20060",rio de janeiro,RJ
"422be4cc81a457fdb46f47edeb968ae5","14940",ibitinga,SP
"99cd94252748d2bdde08e17858233602","12401",sao paulo,SP
"698624c6632eeba1774924dbea24c700","01425",sao paulo,SP
"8bb48dc19fccaa8613b6229bf7f452a2","19803",assis,SP
ad87df7699e83b8a91822a4a0b765c3a,"13820",jaguariuna,SP
d6b664fa0667064c6d76394e7848d790,"14801",araraquara,SP
"98f52e1020fe788c10c0418de4393fec","27963",macae,RJ
"62760d278921b5f352461620d68a9cee","13320",salto,SP
eb72802c83dc7547529c9546d1a9b8ef,"13504",rio claro,SP
"3f9be91358837bff69df67edfa3e42e8","86039",londrina,PR
"1d4587203296c8f4ad134dc286fa6db0","05101",sao paulo,SP
"791cfcfe22fe4a771ece27f90017da92","14010",ribeirao preto,SP
"392f7f2c797e4dc077e4311bde2ab8ce","21210",rio de janeiro,RN
"0c8380b62e38e8a1e6adbeba7eb9688c","37410",tres coracoes,MG
"37be5a7c751166fbc5f8ccba4119e043","04248",sao paulo,SP
"87d73636a3acf123e842bb890a4db036","15190",nhandeara,SP


